K,race,sex,LSAT,c_LSAT,UGPA,c_UGPA,ZFYA
0.4391921656826669,Amerindian,1,1.7635152994096004,1.5635152994096002,0.9317576497048,0.6317576497048001,1.5195960828413335
0.7040856686423355,Puertorican,1,1.8224514011854012,1.6224514011854012,1.0112257005927006,0.7112257005927006,1.2520428343211678
0.1370596835365812,Amerindian,1,1.582235810121949,1.3822358101219487,0.8411179050609743,0.5411179050609745,1.3685298417682907
0.9868304343061748,Asian,2,1.7920982605837046,1.9920982605837048,0.6960491302918524,0.9960491302918524,1.093415217153087
0.7349148821595668,Asian,1,1.84094892929574,1.64094892929574,0.92047446464787,0.6204744646478701,1.3674574410797833
0.931535049155262,Puertorican,1,1.9589210294931567,1.758921029493157,1.0794605147465786,0.7794605147465786,1.365767524577631
0.7904152503192102,Mexican,2,1.974249150191526,2.174249150191526,1.2371245750957631,1.537124575095763,0.9952076251596051
0.9442661596555508,White,2,2.16655969579333,2.36655969579333,0.9832798478966652,1.2832798478966652,1.4721330798277754
0.8627799113025006,White,2,2.1176679467815003,2.3176679467815005,0.9588339733907504,1.2588339733907503,1.4313899556512504
0.5886075856938554,Asian,1,1.7531645514163134,1.5531645514163133,0.8765822757081566,0.5765822757081567,1.2943037928469276
0.8838572635999593,Other,2,1.8303143581599757,2.030314358159976,0.6651571790799878,0.9651571790799878,1.1419286317999795
0.4532321650999273,Black,1,1.4719392990599562,1.2719392990599565,1.0359696495299782,0.7359696495299782,1.6266160825499636
0.1408334276530123,Mexican,2,1.5845000565918073,1.7845000565918072,1.0422500282959035,1.3422500282959036,0.6704167138265062
0.5355424730977982,Black,1,1.521325483858679,1.3213254838586788,1.0606627419293395,0.7606627419293395,1.667771236548899
0.1290712469308814,Asian,2,1.2774427481585289,1.4774427481585288,0.4387213740792645,0.7387213740792644,0.6645356234654408
0.2217755097808906,Other,1,1.6330653058685347,1.4330653058685343,0.7665326529342672,0.4665326529342672,1.210887754890445
0.9520359096782878,Asian,2,1.7712215458069724,1.9712215458069728,0.6856107729034864,0.9856107729034864,1.076017954839144
0.3819324558691864,White,2,1.8291594735215115,2.029159473521512,0.814579736760756,1.114579736760756,1.1909662279345932
