sex,LSAT_I,LSAT,c_LSAT,UGPA_I,UGPA,c_UGPA,K,ZFYA,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
1,41.0,1.2512795850300613,0.5956533148998208,3.9,0.9923445744640609,0.222412944826563,-0.43032953229015436,2.26,0,0,0,0,0,0,0,1
1,34.0,1.4140044619522683,0.6731161085991594,3.4,0.8889537018709947,0.11902207223349688,-0.284315034478975,0.03,0,0,0,0,0,0,0,1
0,33.0,2.574273442158481,5.407735882406221,3.2,-0.5114829752084857,0.2584486544290119,0.2872110997165172,-1.24,0,0,1,0,0,0,0,0
1,44.0,3.2250854978153956,1.5352547029390926,3.4,0.0994225464425391,-0.6705090831949585,0.8307059753533532,-0.39,0,0,0,0,0,0,0,1
1,43.0,2.820796852050591,1.3427990160508751,3.2,-0.02433258372939025,-0.7942642133668878,1.0054800412879048,0.73,0,0,0,0,0,0,0,1
0,33.0,1.1005874639356776,2.3119868398521977,2.8,-0.3641902470715469,0.4057413825659509,0.39810501257102976,-0.1,0,0,0,0,0,0,0,1
1,36.0,6.55713207992298,3.121426663049285,2.9,0.9164572080660307,0.1465255784285332,0.3903043371750898,-0.91,0,0,0,0,1,0,0,0
0,37.0,0.6309200645634423,1.3253638934366672,3.5,0.07247276065624148,0.8424043902937389,-0.21857543694060477,1.96,0,0,0,0,0,0,0,1
1,38.0,1.315748105835469,0.6263426097495458,2.9,0.9130026605823925,0.1430710309448951,-0.3182783480777237,-0.17,0,0,0,0,0,0,0,1
1,37.0,0.9346863158122172,0.4449437272579431,2.4,1.3582219645445859,0.5882903349070883,-0.9470424880202108,1.66,0,0,0,0,0,0,0,1
0,34.5,1.160376748390232,2.437585252838653,3.1,-0.5938260898589414,0.17610553977855628,0.7224098706605729,-1.21,0,0,0,0,0,0,0,1
1,25.0,3.7312726052039342,1.7762176596457595,2.9,0.6343474712028639,-0.13558415843463353,-0.24365468739292945,-1.42,0,0,1,0,0,0,0,0
0,36.0,0.6292359962705546,1.321826197562279,3.2,0.4158284370637723,1.1857600667012698,-0.70348194177869,0.26,0,0,0,0,0,0,0,1
1,41.0,2.4035456152240684,1.1441726775928733,3.7,-0.11922999825254876,-0.8891616278900467,0.35995178959709606,0.21,0,0,0,0,0,1,0,0
1,44.0,2.4901820299098656,1.18541467355926,3.3,1.56602500489995,0.7960933752624528,-0.9714889643321889,1.06,0,1,0,0,0,0,0,0
1,48.0,1.0058906575869675,0.4788395109986895,3.9,1.342612924614335,0.5726812949768375,-0.9249985099632629,0.02,0,0,0,0,0,0,0,1
0,45.0,0.5857243846072713,1.2304220367457155,3.2,0.22024857834337955,0.9901802079808771,-0.4272728902752904,0.85,0,0,0,0,0,0,0,1
1,30.0,2.1298774602453303,1.0138969617210392,2.4,0.7597702864982,-0.010161343139297415,-0.1018748340230541,0.28,0,0,0,0,0,0,0,1
0,35.0,0.6068620298093574,1.2748255568057478,3.2,0.32420930874282416,1.0941409383803218,-0.5740921738411043,-0.92,0,0,0,0,0,0,0,1
0,32.0,1.6246345142130063,3.412844266822996,3.2,-1.0331071102449725,-0.26317548060747503,1.3427876272358708,0.36,0,0,0,0,0,0,0,1
0,31.0,2.888509333310795,6.067846295035669,2.6,-0.5984207007773927,0.17151092886010466,0.4099895232022421,-1.48,0,0,1,0,0,0,0,0
1,31.0,5.578574885563717,2.6555988467781844,2.7,0.6249688171051478,-0.14496281253234977,0.3575243540269815,-2.17,0,1,0,0,0,0,0,0
0,39.0,0.5174760417688617,1.0870538123613738,3.0,0.5613373459714176,1.3312689756089153,-0.9089779370086137,1.81,0,0,0,0,0,0,0,1
0,40.0,1.0761655522406728,2.26068411263325,2.9,-0.36692143541619776,0.40301019422129986,0.4019621528056571,0.96,0,0,0,0,0,0,0,1
0,35.0,0.8216148358756064,1.725953411443493,3.4,-0.02441396089844504,0.7455176687390527,-0.08174647285922552,-0.91,0,0,0,0,0,0,0,1
1,44.0,1.451644050516249,0.6910338833058105,3.5,0.7890701538053679,0.01913852416787037,-0.14325378076653295,-0.73,0,0,0,0,0,0,0,1
0,33.5,1.1034092500367783,2.317914521698849,3.3,-0.6332516875626216,0.13667994207487597,-0.0014588502847051607,-0.8,0,0,0,0,0,1,0,0
0,39.0,1.1929128342467887,2.5059332985738494,2.7,-0.5225452289758007,0.24738640066169687,0.6217429660841404,-0.14,0,0,0,0,0,0,0,1
1,31.0,2.5204494011582246,1.199823012217606,2.8,0.22541026657774696,-0.5445213630597505,0.6527789183072021,-0.98,0,0,0,0,0,0,0,1
1,41.0,1.8448697737324924,0.8782232279893226,3.4,0.8803439864410562,0.11041235680355851,-0.2721559024079304,0.2,0,0,0,0,0,0,0,1
0,38.0,0.8634993512587981,1.8139395566002272,3.4,0.15143375446475982,0.9213653841022572,-0.33008866406076787,-0.25,0,0,0,0,0,0,0,1
1,32.5,2.534786047284614,1.206647762570681,2.3,0.3213370137356497,-0.4485946159018476,0.5173056849198625,-0.51,0,0,0,0,0,0,0,1
0,39.0,1.1790475605533925,2.4768067353878154,4.0,-0.3631823354251677,0.40674929421233014,0.39668158215407834,1.06,0,0,0,0,0,0,0,1
1,30.0,3.5405872148172373,1.6854446731400512,3.4,1.571842318606514,0.8019106889690163,-0.5352679632458541,-0.17,0,0,0,0,1,0,0,0
