sex,LSAT_I,LSAT,c_LSAT,UGPA_I,UGPA,c_UGPA,K,ZFYA,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
0,34.0,3.32414441936879,0.9431895954640229,2.7,-1.280299099965852,-0.97132831551873,0.22367770439759563,-0.29,0,0,0,0,0,0,0,1
1,34.0,1.0448149564703215,3.6823092870476266,2.9,-1.0131452365140312,-1.3221160209611529,0.3664475734147694,-0.97,0,0,0,0,0,0,0,1
0,37.0,1.6973113702186673,0.4815935238328234,3.8,-1.505321024937897,-1.196350240490775,0.991939689967052,0.92,0,0,0,0,0,0,0,1
1,36.5,0.8979463819756475,3.164690820267432,3.5,-0.8573298202227334,-1.1663006046698554,-0.16553197087699378,1.37,0,0,0,0,0,0,0,1
0,41.0,5.3595532282392435,1.5207145669593856,3.3,-1.0275978293127592,-0.7186270448656376,-0.6390861350459963,-0.9,0,0,0,0,0,0,0,1
0,33.0,4.693150795880076,1.3316301707066993,3.5,-1.0619351173016502,-0.7529643328545281,-0.5218529674215846,-1.72,0,0,0,0,0,0,0,1
0,35.0,1.5144944527901925,0.4297212244860686,2.8,-1.4827751233489088,-1.1738043389017876,0.914964261357768,0.19,0,0,0,0,0,0,0,1
0,35.0,2.019987325217216,0.573149294300473,3.8,-1.4385755288067004,-1.1296047443595783,0.7640595516563425,-1.31,0,0,0,0,0,0,0,1
0,22.0,1.7090152140738863,0.48491436142545574,3.7,-1.5681593755861274,-1.259188591139006,0.37768343959580486,0.12,0,0,1,0,0,0,0,0
1,28.0,0.8460238902429628,2.981697006549615,3.1,0.054071384623497906,-0.25489939982362375,0.3184472823153387,-1.36,0,1,0,0,0,0,0,0
0,40.0,5.392595214518961,1.5300898689140503,3.7,-1.109250528146386,-0.8002797436992644,-0.36031034668306144,0.82,0,0,0,0,0,0,0,1
0,29.3,2.961838545128499,0.8403892691701885,2.7,-1.7174934799407255,-1.408522695493604,-0.5049069256549671,-0.24,0,0,0,0,0,1,0,0
1,34.0,1.0446103689368083,3.6815882459005738,2.3,-1.083782314689708,-1.3927530991368298,-0.22118253421107512,-2.36,0,0,1,0,0,0,0,0
1,33.0,0.7096975632244701,2.5012332680277525,2.4,-1.1171198581781103,-1.4260906426252316,0.3519527797091068,-0.75,0,0,0,0,0,0,1,0
0,40.0,2.4382389658427854,0.6918236194667376,2.9,-1.385670481789121,-1.0766996973419996,0.5834329906071459,0.04,0,0,0,0,0,0,0,1
0,38.0,3.951824186720668,1.1212868593494423,2.6,-1.385967175258331,-1.076996390811209,0.5844459510721718,-0.11,0,0,0,0,0,0,0,1
0,42.0,3.9194517733997127,1.1121015413931958,3.7,-1.1900508824139269,-0.8810800979668054,-0.08444460332490569,0.85,0,0,0,0,0,0,0,1
1,28.0,0.3498551491850734,1.2330172505548576,2.5,-0.8923922453177888,-1.2013630297649107,0.589278001781671,-1.85,0,0,0,1,0,0,0,0
1,45.0,1.1252104833554237,3.965652469926831,3.5,0.05791276753453748,-0.25105801691258417,0.30533216714185313,0.21,0,1,0,0,0,0,0,0
1,32.0,1.2396619522334105,4.369021223557057,3.2,-0.8152280648152368,-1.1241988492623582,-0.3092743115815333,-0.66,0,0,0,0,0,0,0,1
0,34.0,3.1945530110665104,0.9064194517662797,3.0,-1.2736212946442798,-0.9646505101971581,0.20087857504060286,1.29,0,0,0,0,0,0,0,1
0,32.0,5.52415852676532,1.5674195187729802,2.9,-1.273539204419465,-0.964568419972343,-0.6281984437692615,-0.3,0,0,1,0,0,0,0,0
0,37.0,3.3890190682409598,0.9615970670134182,2.9,-1.2538697844687434,-0.9448990000216216,0.13344365985472423,-1.78,0,0,0,0,0,0,0,1
1,42.0,2.205370359939043,7.772530157127192,3.5,-0.597857055329679,-0.9068278397768007,-1.0514148091057556,0.69,0,0,0,0,0,0,0,1
1,30.5,1.1547113770073543,4.069624387631472,2.2,-0.9149465841225182,-1.2239173685696396,0.03118116914806876,-1.97,0,0,0,0,0,0,0,1
1,32.0,0.3962165940466872,1.3964119051945632,3.3,-1.1121230365402404,-1.4210938209873614,0.7043741162833287,0.17,0,0,0,0,0,0,0,1
1,31.5,1.353095496257954,4.768802438438783,2.9,0.14776154293108043,-0.16120924151604124,-0.0014263791451704275,-1.56,0,1,0,0,0,0,0,0
0,39.0,6.490530118127459,1.8416168806607207,3.1,-1.0608941605865707,-0.7519233761394489,-0.5254069654283043,0.48,0,0,0,0,0,0,0,1
1,35.0,0.7054054236270938,2.4861062013612134,2.8,-0.9495678257886425,-1.2585386102357643,0.14938380148534514,-0.84,0,0,0,0,0,0,0,1
1,40.0,0.6868742613491592,2.4207956212118344,3.8,-0.9385214696617036,-1.2474922541088254,0.11166971876898893,-0.02,0,0,0,0,0,0,0,1
0,41.0,5.472868282679428,1.5528664733972282,3.6,-1.1332685365598212,-0.8242977521126993,-0.2783089024441421,-0.12,0,0,0,0,0,0,0,1
0,38.0,6.821125990249188,1.9354198409267425,3.7,-0.9658962105877162,-0.6569254261405946,-0.8497456435380681,0.33,0,0,0,0,0,0,0,1
1,37.0,0.4167361488143333,1.4687303062846915,2.4,-0.8268904916097508,-1.1358612760568725,0.36564420534929865,-0.93,0,0,0,1,0,0,0,0
0,34.0,1.596312492574333,0.45293619775739113,3.2,-1.4259843834499029,-1.1170135990027816,0.7210713035840349,0.77,0,0,0,0,0,0,0,1
1,25.0,0.5431897886024252,1.9143990912585709,3.1,-1.064626183073132,-1.373596967520254,0.542212020489886,-0.95,0,0,0,0,0,0,0,1
0,39.0,5.637584595173976,1.5996029242093013,3.1,-1.0523057911772324,-0.7433350067301105,-0.5547290758672844,1.03,0,0,0,0,0,0,0,1
1,39.0,1.6521459941567043,5.822765553045161,2.3,-0.7094721831112328,-1.0184429675583544,-0.6703423438351023,1.47,0,0,0,0,0,0,0,1
0,33.5,2.4090552745276446,0.6835430664783385,3.1,-1.9499558344091497,-1.6409850499620275,0.28875791405453505,1.64,0,0,0,0,0,1,0,0
