sex,LSAT_I,LSAT,c_LSAT,UGPA_I,UGPA,c_UGPA,K,ZFYA,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
0,36.0,2.536568540211837,1.6393655615916303,2.9,0.641201382088303,-0.5114793135064821,-0.12231502180308235,-0.59,0,0,0,0,0,0,0,1
0,48.0,2.374032947279372,1.5343200052180155,3.4,0.6583231224803683,-0.49435757311441664,0.017209946405320125,2.08,0,0,0,0,0,0,0,1
0,40.0,1.739937324307676,1.1245086752355913,2.5,0.7417025365076124,-0.41097815908717256,0.6966683323517405,0.29,0,0,0,0,0,0,0,1
1,34.0,1.6025654496472226,2.4796282162100143,3.3,-0.5163210092114309,0.6363596863833542,-0.16176997345161823,-0.32,0,0,0,0,0,0,0,1
1,36.0,1.691616905292772,2.6174163497067693,3.9,-0.5312777749915621,0.621402920603223,-0.28365257546446093,0.86,0,0,0,0,0,0,0,1
1,39.0,1.0572199907113957,1.635822437259176,3.2,-0.6887174362420468,0.4639632593527383,0.5581890439452755,1.03,0,0,1,0,0,0,0,0
0,46.0,2.9158618324884618,1.8845000222788533,3.6,0.5874449357456727,-0.5652357598491123,-0.5603760071470708,-1.72,0,0,0,0,0,0,0,1
1,25.0,1.6251241667754708,2.5145330193336672,2.6,-0.527553752395188,0.6251269431995973,-0.25330553582547205,-1.11,0,0,0,0,0,0,0,1
0,33.5,2.507817018847457,1.620783665135485,2.6,0.6652485315696978,-0.4874321640250875,0.07364506695338284,-1.45,0,0,0,0,0,0,0,1
0,35.0,2.6914494434272775,1.7394639483903536,2.7,0.6051542420553848,-0.5475264535394003,-0.4160629675100202,0.39,0,0,0,0,0,0,0,1
1,30.0,0.5106258209967277,0.7900845447202259,2.8,-0.3015314999547892,0.8511491956399959,0.5569694195560722,-0.03,0,0,0,0,1,0,0,0
1,30.0,0.8567196335585662,1.3255909000288029,3.5,-0.34505926911006907,0.8076214264847161,1.233841003924938,-0.44,0,0,0,0,0,0,0,1
0,39.0,2.367516733744732,1.5301086244130737,3.2,0.6882540693128634,-0.46442662628192183,0.2611170673885654,0.23,0,0,0,0,0,0,0,1
0,33.0,1.2676721643021571,0.8192871813239974,2.6,0.821133869605894,-0.33154682598889107,1.3439538285402375,-0.17,0,0,0,0,0,0,0,1
1,40.0,2.0854999205154763,3.2268663029970375,3.4,-0.6022058708596001,0.5504748247351852,-0.8616452382697313,1.25,0,0,0,0,0,0,0,1
0,38.0,1.351300826746794,0.873335769801035,3.2,0.7904474395934176,-0.36223325600136763,1.0938902792818754,1.28,0,0,0,0,0,0,0,1
1,23.5,1.0920883167508313,1.6897737346108237,3.1,-0.7255079253834276,0.42717277021135747,0.2583835504452372,-1.08,0,0,1,0,0,0,0,0
1,41.0,1.3043302640870797,2.0181728782427886,3.8,-0.4620565859821703,0.6906241096126147,0.28043051274536324,1.57,0,0,0,0,0,0,0,1
0,40.0,3.349780186303229,2.164938257835876,3.3,0.5561689426432049,-0.5965117529515803,-0.815243902780524,-1.5,0,0,0,0,0,0,0,1
0,33.5,1.42666406935716,0.922042478327425,2.6,0.7836703408971986,-0.36901035469758664,1.038663739310894,-1.31,0,0,0,0,0,0,0,1
0,33.0,2.359665265521441,1.5250342783391775,3.2,0.6552009774541634,-0.4974797181406217,-0.008232396227391626,-0.8,0,0,0,0,0,0,0,1
1,35.0,1.4714769248527677,2.276796684447471,3.0,-0.8325524113926894,0.32012828420209566,-0.6139213768183683,-1.68,0,0,1,0,0,0,0,0
0,43.0,3.2265419901354737,2.085290319502138,3.0,0.5550779011543879,-0.597602794440397,-0.8241347938672594,1.47,0,0,0,0,0,0,0,1
0,27.0,2.921946368059856,1.888432412796158,2.8,0.6317607730101817,-0.5209199225846033,0.4952080835943707,-0.11,0,1,0,0,0,0,0,0
0,33.0,1.3794227051913424,0.8915107326764349,3.5,0.7966099773402874,-0.3560707182544977,1.144108765459458,0.69,0,0,0,0,0,0,0,1
0,40.0,3.011450220441188,1.9462780932489645,3.7,0.638730206446879,-0.5139504891479064,0.5520019583068004,0.97,0,1,0,0,0,0,0,0
1,26.5,2.368199836089774,3.6642841242364312,2.9,-0.6193550980738975,0.5333255975208875,-1.0013941964412012,-1.07,0,0,0,0,0,0,0,1
0,35.0,1.876408622977207,1.2127090702329333,3.4,0.6963932503402649,-0.4562874452545202,0.32744320877877625,1.39,0,0,0,0,0,0,0,1
0,31.5,1.6711848651354075,1.0800744673460865,2.9,0.7354833913610684,-0.4171973042337167,0.6459885527858074,0.82,0,0,0,0,0,0,0,1
0,37.0,2.9261817201526705,1.8911696896534973,3.2,0.5943011617617117,-0.5583795338330734,-0.5045046590824328,1.93,0,0,0,0,0,0,0,1
1,36.0,1.7650632065626597,2.731058835288351,2.9,-0.5242679311746706,0.6284127644201146,-0.2265293967862632,-0.21,0,0,0,0,0,0,0,1
0,27.0,2.4202257544803008,1.5641740762269223,3.3,0.6296070755074029,-0.5230736200873821,-0.21679696231003112,1.5,0,0,0,0,0,0,0,1
0,37.0,2.2920621259982896,1.4813428672722906,3.0,0.6972723350472986,-0.4554083605474865,0.3346068652174766,1.53,0,0,0,0,0,0,0,1
1,43.0,1.6172302319845084,2.502318838971235,3.8,-0.4992415688778643,0.653439126716921,-0.022589708187082974,0.35,0,0,0,0,0,0,0,1
0,39.0,2.2408691053734975,1.448257195162234,2.6,0.6821907570537481,-0.47048993854103704,0.21170716916450927,-0.59,0,0,0,0,0,0,0,1
1,36.0,2.445165507835403,3.783372084969661,3.1,-0.6466646945983469,0.5060160009964383,-1.2239399481933944,0.0,0,0,0,0,0,0,0,1
0,39.0,2.803513495430196,1.811890119666079,3.8,0.6371772943040801,-0.5155034012907049,-0.15510729100614185,0.94,0,0,0,0,0,0,0,1
0,31.0,1.9509896331599026,1.2609102277037323,3.2,0.7047854845228968,-0.4478952110718884,0.3958314789380299,0.78,0,0,0,0,0,0,0,1
1,25.5,1.4283358717624077,2.2100451065051034,2.8,-0.8141867650905726,0.3384939305042123,-0.4642598261960331,0.51,0,0,1,0,0,0,0,0
0,41.0,2.2160268631367015,1.4322018370080563,3.2,0.6641557934440966,-0.4885249021506885,0.06474034998283108,0.31,0,0,0,0,0,0,0,1
1,36.0,2.1464414079648724,3.3211602563894522,3.5,-0.6056328307103649,0.54704786488442,-0.8895715152299308,-0.13,0,0,0,0,0,0,0,1
0,33.0,2.114044169072395,1.36629117310248,3.0,0.6712466817999034,-0.48143401379488177,0.1225239601625392,0.21,0,0,0,0,0,0,0,1
1,33.0,1.3398181104173705,2.0730827511047574,2.5,-0.4543400389911295,0.6983406566036556,0.34331261169965877,-0.58,0,0,0,0,0,0,0,1
0,32.0,2.7361059049489644,1.7683250905044479,3.2,0.5998304887965002,-0.5528502067982849,-0.45944620351209564,-0.11,0,0,0,0,0,0,0,1
