,Unnamed: 0,K,race,sex,LSAT,c_LSAT,UGPA,c_UGPA,ZFYA
16260,16260,0.4391921656826669,Amerindian,1,1.7635152994096004,1.5635152994096002,0.9317576497048,0.6317576497048001,1.5195960828413335
11420,11420,0.7040856686423355,Puertorican,1,1.8224514011854012,1.6224514011854012,1.0112257005927006,0.7112257005927006,1.2520428343211678
12092,12092,0.1370596835365812,Amerindian,1,1.582235810121949,1.3822358101219487,0.8411179050609743,0.5411179050609745,1.3685298417682907
25890,25890,0.9868304343061748,Asian,2,1.7920982605837046,1.9920982605837048,0.6960491302918524,0.9960491302918524,1.093415217153087
25365,25365,0.7349148821595668,Asian,1,1.84094892929574,1.64094892929574,0.92047446464787,0.6204744646478701,1.3674574410797833
8401,8401,0.931535049155262,Puertorican,1,1.9589210294931567,1.758921029493157,1.0794605147465786,0.7794605147465786,1.365767524577631
14004,14004,0.7904152503192102,Mexican,2,1.974249150191526,2.174249150191526,1.2371245750957631,1.537124575095763,0.9952076251596051
14016,14016,0.9442661596555508,White,2,2.16655969579333,2.36655969579333,0.9832798478966652,1.2832798478966652,1.4721330798277754
24178,24178,0.8627799113025006,White,2,2.1176679467815003,2.3176679467815005,0.9588339733907504,1.2588339733907503,1.4313899556512504
21027,21027,0.5886075856938554,Asian,1,1.7531645514163134,1.5531645514163133,0.8765822757081566,0.5765822757081567,1.2943037928469276
16320,16320,0.8838572635999593,Other,2,1.8303143581599757,2.030314358159976,0.6651571790799878,0.9651571790799878,1.1419286317999795
23470,23470,0.4532321650999273,Black,1,1.4719392990599562,1.2719392990599565,1.0359696495299782,0.7359696495299782,1.6266160825499636
16184,16184,0.1408334276530123,Mexican,2,1.5845000565918073,1.7845000565918072,1.0422500282959035,1.3422500282959036,0.6704167138265062
5305,5305,0.5355424730977982,Black,1,1.521325483858679,1.3213254838586788,1.0606627419293395,0.7606627419293395,1.667771236548899
5271,5271,0.1290712469308814,Asian,2,1.2774427481585289,1.4774427481585288,0.4387213740792645,0.7387213740792644,0.6645356234654408
23146,23146,0.2217755097808906,Other,1,1.6330653058685347,1.4330653058685343,0.7665326529342672,0.4665326529342672,1.210887754890445
27979,27979,0.9520359096782878,Asian,2,1.7712215458069724,1.9712215458069728,0.6856107729034864,0.9856107729034864,1.076017954839144
19607,19607,0.3819324558691864,White,2,1.8291594735215115,2.029159473521512,0.814579736760756,1.114579736760756,1.1909662279345932
13236,13236,0.2369278615111822,Hispanic,1,1.7421567169067094,1.5421567169067094,1.0710783584533548,0.7710783584533547,1.618463930755591
22229,22229,0.1174040623635999,Hispanic,2,1.47044243741816,1.67044243741816,0.7352212187090801,1.03522121870908,1.1587020311818002
24017,24017,0.7722766257019431,Asian,2,1.6633659754211658,1.863365975421166,0.631682987710583,0.9316829877105828,0.9861383128509716
2556,2556,0.5225765993367452,White,1,2.113545959602047,1.9135459596020468,1.1567729798010236,0.8567729798010236,1.6612882996683724
4512,4512,0.0914219918171381,Black,1,1.2548531950902828,1.0548531950902829,0.9274265975451416,0.6274265975451414,1.445710995908569
11908,11908,0.429882758124848,Black,2,1.2579296548749088,1.4579296548749088,0.7289648274374544,1.0289648274374543,1.214941379062424
7540,7540,0.1918731844045015,Puertorican,2,1.3151239106427008,1.515123910642701,0.5575619553213504,0.8575619553213504,0.5959365922022508
4737,4737,0.3488319074586301,Asian,1,1.609299144475178,1.409299144475178,0.804649572237589,0.5046495722375891,1.174415953729315
12269,12269,0.1192501676814665,White,2,1.6715501006088798,1.87155010060888,0.73577505030444,1.03577505030444,1.0596250838407333
2417,2417,0.0389960125749115,Puertorican,1,1.423397607544947,1.2233976075449469,0.8116988037724735,0.5116988037724735,0.9194980062874558
10337,10337,0.4170487283209009,Mexican,2,1.7502292369925403,1.9502292369925405,1.12511461849627,1.4251146184962702,0.8085243641604505
20626,20626,0.9309729142428445,Puertorican,2,1.7585837485457063,1.9585837485457067,0.7792918742728533,1.0792918742728532,0.965486457121422
309,309,0.2708322512620742,White,1,1.9624993507572448,1.7624993507572444,1.0812496753786225,0.7812496753786223,1.535416125631037
28568,28568,0.616412820093165,Amerindian,2,1.6698476920558991,1.8698476920558995,0.6849238460279495,0.9849238460279496,1.2082064100465826
9744,9744,0.2653697331203439,Other,2,1.4592218398722063,1.6592218398722065,0.4796109199361032,0.7796109199361032,0.8326848665601719
17760,17760,0.6407333593074455,Hispanic,1,1.9844400155844677,1.7844400155844673,1.1922200077922338,0.8922200077922338,1.8203666796537228
7478,7478,0.8715518564582477,Hispanic,2,1.9229311138749487,2.122931113874949,0.9614655569374744,1.2614655569374742,1.535775928229124
20929,20929,0.283918290918389,Black,1,1.3703509745510334,1.1703509745510334,0.9851754872755168,0.6851754872755167,1.5419591454591943
29486,29486,0.7841706868167898,Hispanic,1,2.070502412090074,1.870502412090074,1.235251206045037,0.9352512060450372,1.8920853434083948
6935,6935,0.4751708660226282,Asian,1,1.6851025196135772,1.485102519613577,0.8425512598067885,0.5425512598067885,1.237585433011314
11649,11649,0.814792001635896,Other,2,1.7888752009815376,1.9888752009815376,0.6444376004907688,0.9444376004907687,1.107396000817948
23541,23541,0.6722736540247367,Mexican,2,1.903364192414842,2.103364192414842,1.201682096207421,1.5016820962074209,0.9361368270123684
22107,22107,0.5222136796277246,Mexican,2,1.8133282077766344,2.0133282077766346,1.1566641038883172,1.4566641038883177,0.8611068398138624
25600,25600,0.1260380306687913,Other,1,1.575622818401275,1.3756228184012749,0.7378114092006374,0.4378114092006374,1.1630190153343958
15232,15232,0.9173619850652766,White,2,2.150417191039166,2.350417191039166,0.975208595519583,1.275208595519583,1.4586809925326385
23234,23234,0.8038763771441993,Amerindian,2,1.7823258262865196,1.98232582628652,0.7411629131432598,1.0411629131432598,1.3019381885720998
14023,14023,0.2167577113219849,Asian,2,1.3300546267931908,1.530054626793191,0.4650273133965955,0.7650273133965955,0.7083788556609926
19109,19109,0.6247999220727483,Mexican,1,2.0748799532436486,1.8748799532436489,1.4874399766218245,1.1874399766218244,1.312399961036374
14282,14282,0.6893401156326044,Mexican,1,2.1136040693795626,1.9136040693795624,1.5068020346897812,1.2068020346897812,1.3446700578163022
8121,8121,0.628905144923615,Amerindian,1,1.8773430869541687,1.677343086954169,0.9886715434770844,0.6886715434770845,1.6144525724618075
25549,25549,0.5528668195368782,Black,2,1.3317200917221268,1.5317200917221268,0.7658600458610635,1.0658600458610636,1.276433409768439
12357,12357,0.7736366450057608,White,2,2.0641819870034563,2.2641819870034565,0.9320909935017284,1.2320909935017283,1.3868183225028805
13487,13487,0.6827795001941304,Hispanic,2,1.8096677001164785,2.009667700116478,0.9048338500582392,1.2048338500582392,1.4413897500970654
13804,13804,0.7981829895748429,White,2,2.0789097937449057,2.278909793744906,0.939454896872453,1.239454896872453,1.3990914947874216
27944,27944,0.0391737070821905,Puertorican,2,1.2235042242493144,1.4235042242493146,0.5117521121246572,0.8117521121246571,0.5195868535410952
29057,29057,0.0300226453446872,Puertorican,2,1.2180135872068123,1.4180135872068125,0.5090067936034062,0.8090067936034061,0.5150113226723436
29107,29107,0.7587198022716453,Amerindian,2,1.7552318813629872,1.9552318813629876,0.7276159406814936,1.0276159406814935,1.2793599011358228
21418,21418,0.122196761829238,White,1,1.8733180570975427,1.6733180570975426,1.0366590285487711,0.7366590285487715,1.461098380914619
2186,2186,0.871204482263052,Asian,1,1.9227226893578315,1.7227226893578311,0.9613613446789157,0.6613613446789156,1.435602241131526
23775,23775,0.2369358794224824,Other,2,1.4421615276534894,1.6421615276534896,0.4710807638267448,0.7710807638267447,0.8184679397112411
20937,20937,0.1548599975215817,White,1,1.892915998512949,1.692915998512949,1.0464579992564746,0.7464579992564746,1.4774299987607908
888,888,0.0994413927593451,Puertorican,2,1.259664835655607,1.4596648356556072,0.5298324178278035,0.8298324178278035,0.5497206963796726
14397,14397,0.0316150112712421,Other,1,1.5189690067627457,1.3189690067627453,0.7094845033813726,0.4094845033813726,1.1158075056356211
19568,19568,0.0827475038898714,Amerindian,2,1.3496485023339229,1.549648502333923,0.5248242511669614,0.8248242511669613,0.9413737519449356
16344,16344,0.3450206666104666,Amerindian,2,1.50701239996628,1.70701239996628,0.60350619998314,0.90350619998314,1.0725103333052333
